issue_id	issue_number	issue_by	issue_title	issue_created_at	issue_closed_at	issue_closed_by
53483066	1204	6537813	Insecure Request Warning	2015-01-06 05:37:26	None	-1
53469378	1203	949949	replaygain: metaflac backend	2015-01-06 01:15:56	None	-1
53418262	1202	921168	Small cleans in beets.util module	2015-01-05 17:04:38	None	-1
53317513	1196	84227	fix #1178, update docs to put asterisk in quotes	2015-01-03 22:33:14	None	-1
53306826	1195	5630177	Using id3v23 Tags causing mismatches between database and file	2015-01-03 15:33:32	None	-1
53305665	1194	1549375	Fetchart: add fetching artwork from Wikipedia	2015-01-03 14:45:01	None	-1
53146183	1191	2280539	Updating Mopidy's library with beets	2014-12-30 20:53:38	None	-1
53145303	1190	188033	Better error message when MusicBrainz is unreachable	2014-12-30 20:41:13	None	-1
53037174	1188	177659	ftintitle: Add option: `broad`.	2014-12-29 12:10:29	None	-1
53033779	1187	177659	Tests do not properly sandbox the testing environment	2014-12-29 11:01:59	None	-1
53033251	1186	9843448	Added a file filter based on regular expressions	2014-12-29 10:51:00	None	-1
53032705	1185	177659	Fix (some) tests	2014-12-29 10:39:57	None	-1
53015222	1184	177659	"ftintitle: Don't pick up ""A & B"""	2014-12-29 01:46:53	None	-1
53014821	1183	199649	Refactor ftintitle	2014-12-29 01:27:58	None	-1
53011138	1178	84227	config: Star character in source lists can cause YAML syntax error	2014-12-28 22:15:48	None	-1
53011036	1177	1824682	fetchart: Check that image files are in fact files	2014-12-28 22:10:37	None	-1
52969198	1173	3150962	Option to empty fields when data is unavailable from source	2014-12-28 00:13:11	None	188033
52853471	1169	8108462	embedart | not scaling image when importing	2014-12-25 08:12:55	None	-1
52833661	1168	255026	How to properly rescan / reanalyze already imported albums?	2014-12-24 19:26:42	None	-1
52766403	1167	9843448	Automatic singleton detection	2014-12-23 19:07:45	None	-1
52698991	1166	1666457	convert: Character encoding/path issue on Windows	2014-12-22 23:16:24	None	-1
52671552	1165	768112	Path queries are case-insensitive	2014-12-22 17:42:45	None	-1
52656190	1164	177659	mpdstats: Work with Mopidy	2014-12-22 14:55:19	None	-1
52594530	1160	177659	AVI support	2014-12-21 12:56:34	None	-1
52495256	1153	10244789	ftintitle: Run after mbsync	2014-12-19 15:35:58	None	-1
51898824	1142	6609134	artresizer fails to resize images on windows	2014-12-13 20:36:34	None	-1
51886380	1141	2829196	lastimport: Loved tracks from last.fm	2014-12-13 12:27:45	None	-1
51167249	1133	207971	Duplicate detection: configurable field set	2014-12-06 02:21:59	None	-1
51057436	1131	207971	Show more info when asking about duplicated album	2014-12-05 02:48:09	None	-1
50768911	1130	207971	fetchart: Extract embedded art	2014-12-03 02:48:21	None	-1
50514200	1126	8108462	"fetchart | tracks don't have cover, but beet says ""...has album art"""	2014-12-01 11:34:27	None	-1
50429518	1122	9869849	Discogs: fetch original release year/date	2014-11-29 15:58:04	None	-1
49692599	1107	108437	importadded: Crash when files are neither moved nor copied	2014-11-21 12:56:58	None	-1
49639872	1106	922	Identity map to avoid some redundant queries/materialization	2014-11-21 01:07:31	None	-1
49545307	1104	146192	HTOA/pregap tracks (AKA track 0)	2014-11-20 13:09:37	None	-1
49162717	1099	5630177	Compilation flag inference in as-is imports is inconsistent with update behavior	2014-11-18 00:02:03	None	-1
48939614	1092	922	Marker for fast default format altering (-f ui option)	2014-11-16 02:02:19	None	-1
48929589	1090	197930	Explicit commands to remove art from files / directories	2014-11-15 20:00:32	None	-1
48927353	1089	2676579	"Do not consider [silence] as ""missing tracks"""	2014-11-15 19:09:31	None	-1
48927334	1088	108437	Importer UI: Display number of missing or unmatched tracks	2014-11-15 19:08:45	None	-1
48884676	1087	3158341	In %asciify, asciify_paths, scrub path separators	2014-11-15 08:02:59	None	-1
48796163	1085	108437	Add option to list files when importing an unrecognized album	2014-11-14 14:38:06	None	-1
48779280	1084	830800	chroma: Avoid repeated acoustid submissions	2014-11-14 12:02:17	None	-1
48649793	1082	922	ProximitySortPlugin for distance-based sorting	2014-11-13 15:37:36	None	-1
48344967	1077	1720142	Scriptable Beets	2014-11-11 03:45:41	None	-1
47884142	1065	1275191	"Lastimport:  Try to fix ""broken"" last.fm artist name and title by looking them up in MusicBrainz"	2014-11-05 20:30:31	None	-1
47814988	1064	5132647	"""Remove new"" option for duplicate resolution prompt in importer"	2014-11-05 09:20:04	None	-1
47762109	1062	84227	Restrict bucket definition to a specific field	2014-11-04 20:38:04	None	-1
47610331	1058	7481596	fetchart: Minimum width option	2014-11-03 16:04:30	None	-1
47542529	1057	5132647	"""correcting tags"" diff view: display #track before title"	2014-11-02 17:26:49	None	-1
47491069	1053	84227	ArtResizer: Drop PIL and Web proxy backends	2014-11-01 06:37:02	None	-1
47273603	1048	108437	importadded: Set added field before moving files	2014-10-30 14:08:24	None	188033
47064742	1046	188033	MediaFile: More general comments field in ID3	2014-10-28 18:40:23	None	-1
46930091	1044	188033	Logging overhaul	2014-10-27 16:54:24	None	-1
46576942	1030	188033	fields: Include typed flexible attributes and computed fields	2014-10-23 00:32:38	None	-1
45592988	1010	84227	ftintitle does not work with compilations	2014-10-12 20:35:45	None	-1
45533978	1002	456426	Web audio	2014-10-10 23:41:15	None	-1
45487593	1000	428231	duplicates: Do not report duplicates when only `mb_albumid` is duplicated	2014-10-10 14:41:02	None	-1
44892742	988	56635	Fix not using musicbrainz artist alias in some cases.	2014-10-04 19:46:05	None	-1
44660395	986	456426	Migrate to aurora.js for web plugin	2014-10-02 08:07:16	None	-1
43348027	976	2369330	"Add convenient ""or"" operator to queries"	2014-09-21 22:46:55	None	-1
42477912	941	352559	UI: confirm Chroma is operational	2014-09-11 00:39:19	None	-1
42477301	940	352559	UI: Rename 'remove' autotagger command to 'delete'	2014-09-11 00:25:45	None	-1
42177139	934	8693760	Option to clear all fields before applying a match	2014-09-08 09:08:40	None	-1
41072847	919	3919579	NULL fields and tag removal	2014-08-25 15:30:25	None	-1
41015663	916	921168	Normalise logging usage across the codebase	2014-08-24 18:23:31	None	-1
40549737	903	4174345	Lock to prevent conflicting file operations	2014-08-19 01:22:22	None	-1
40293776	899	613493	MediaFile: use older text encodings in ID3v2.3 mode	2014-08-14 20:08:14	None	-1
38823876	889	184222	Have fetchart grab fanart as well	2014-07-26 18:53:54	None	-1
38040202	875	47430	"String matching should consider ""Three"" and ""3"" equivalent"	2014-07-17 01:10:18	None	-1
37980381	874	125412	More verbose error output on ReplayGain failures when using gstreamer as backend	2014-07-16 13:16:57	None	-1
37825978	872	260040	Apply tag-changing plugins before the change is displayed.	2014-07-14 20:41:10	None	-1
37824972	871	6372800	Made play plugin work with cygwin	2014-07-14 20:29:27	None	-1
37824197	870	260040	"Use track-level (MusicBrainz ""work"") language"	2014-07-14 20:21:29	None	-1
37748428	865	174330	gjay integration	2014-07-13 20:02:19	None	-1
37726734	863	4637963	"Update track-genres even with ""beet lastgenre""... not only albums"	2014-07-12 19:21:29	None	-1
36651246	845	936176	Configurable disambiguator display in importer album overview	2014-06-27 10:07:54	None	-1
36343822	842	188033	"Use new configuration ""templates"" to simplify config handling"	2014-06-24 00:29:29	None	-1
36251259	840	2644614	ImportFeeds:  fix/disable/catch symlink usage on windows	2014-06-22 20:11:18	None	-1
36244429	838	1424524	Support for git-annex	2014-06-22 14:07:42	None	-1
36209553	831	2644614	FetchArt / EmbedArt - fetch art from specific url	2014-06-20 23:05:39	None	-1
36188449	830	5209888	echonest: Store Echoprint fingerprints in flexattrs	2014-06-20 17:54:32	None	-1
35888296	828	2644614	Display album art on import	2014-06-17 13:27:39	None	-1
35778587	825	4687743	"Import log says ""None"" in album-grouping mode"	2014-06-16 09:03:05	None	-1
35757643	824	894892	List distinct values for an attribute	2014-06-15 20:47:04	None	-1
35565673	819	958908	"Boolean ""not"" operator in queries"	2014-06-12 10:02:04	None	-1
35486029	816	894892	Using flexible attribute in path definition	2014-06-11 14:00:53	None	-1
35301183	813	3718672	This is our work so far!	2014-06-09 16:44:02	None	-1
35103153	808	2497867	Let the user add a custom comment to the import log	2014-06-05 22:14:07	None	-1
34818471	804	260040	Provide feedback that the importer is still running and basic status	2014-06-02 22:56:43	None	-1
34818209	803	260040	Allow interrupting safe import tasks	2014-06-02 22:51:49	None	-1
34759120	800	189379	BPD: Update to newer MPD protocol version	2014-06-02 09:56:52	None	-1
34593297	795	1574588	Allow play plugin to choose random albums	2014-05-29 21:08:48	None	-1
34261940	791	2635664	Importer: Resolve duplicate tracks in a single directory with different format/quality	2014-05-25 12:32:51	None	-1
34122459	787	1006726	Feature req: handle swapped artist/track name	2014-05-22 21:12:41	None	-1
34120125	786	188033	MediaFile: Isolate Mutagen faults when reading fields	2014-05-22 20:45:11	None	-1
34104986	785	761786	MPDUpdate and MPDStats could manage multiple servers	2014-05-22 17:44:44	None	-1
33875357	781	7384411	Use fuzzy matching when trying to group albums during import.	2014-05-20 10:19:08	None	-1
33675246	773	147918	mpdstats: mpd events are processed twice	2014-05-16 13:39:49	None	-1
33470173	762	3397700	Expose floating-point BPM in MediaFile or normalize floats to ints in database	2014-05-14 08:05:23	None	-1
33276864	758	5532905	Importer API	2014-05-12 02:26:54	None	-1
33159328	755	5428554	FIX: web plugin should work behind web proxy too	2014-05-09 09:57:01	None	-1
32874477	750	894892	Pagination support in dbcore	2014-05-06 08:39:48	None	-1
32557998	739	188033	Plugin API for extending HTTP interface	2014-04-30 17:50:24	None	-1
32557718	738	188033	New browser client	2014-04-30 17:46:50	None	-1
32557480	737	188033	Remote library client	2014-04-30 17:43:55	None	-1
32557031	736	188033	Design and prototype new HTTP API	2014-04-30 17:38:28	None	-1
32505819	735	188033	Tests: enforce configuration cleanup	2014-04-30 04:26:58	None	-1
32488619	733	3936764	Option to remove external album art after embedding	2014-04-29 21:51:05	None	-1
32299496	726	84227	"Choosing ""Use as-is"" to resolve a match prevent the writing of tags via plugins"	2014-04-26 22:08:53	None	-1
32295183	725	48219	"Mark releases with MB type ""compilation"" as compilations"	2014-04-26 18:36:17	None	-1
32158164	719	77867	Align artist, album names in candidate listings	2014-04-24 15:22:25	None	-1
32000830	718	188033	Extensible web plugin	2014-04-22 19:04:49	None	-1
31931644	716	187813	Importer race condition when removing recently-added duplicates	2014-04-21 22:47:34	None	-1
31854706	712	7349263	convert: Handle embedded video streams with ffmpeg	2014-04-19 21:15:29	None	-1
31741656	704	188033	Refactor ImportTask	2014-04-17 16:31:14	None	-1
31741178	703	188033	Rename the update command	2014-04-17 16:25:05	None	-1
31741112	702	188033	Re-import detection should permit partial and multiple overlap	2014-04-17 16:24:07	None	-1
31670791	694	7318650	Compatibility with old SQLite versions	2014-04-16 19:15:59	None	-1
31421894	683	264788	Discogs-sourced tagging leaves in HTML entities, when dealing with weird track names	2014-04-13 20:22:30	None	-1
31364203	679	19436	consistent writing & moving options: -wWcCM, import.write, etc.	2014-04-11 21:33:15	None	-1
31180395	673	3919579	Utility to run tasks concurrently	2014-04-09 18:04:12	None	-1
31104455	670	188033	Pass tests on Windows	2014-04-08 20:10:10	None	-1
31103265	669	188033	Achieve flake8-cleanliness	2014-04-08 19:55:18	None	-1
31012303	667	830800	import behaviour assumes perfect mb recording match (particularly bad for acoustid submissions)	2014-04-07 19:02:43	None	-1
30943772	663	4896059	Multithreading support in commands	2014-04-06 18:54:41	None	4896059
30885841	656	188033	Avoid needless field writes via dirty tracking in Item	2014-04-04 19:02:26	None	-1
30885272	654	188033	Follow MusicBrainz pseudo-releases	2014-04-04 18:55:03	None	-1
30809054	646	188033	Optionally use faster string distance functions	2014-04-03 20:09:13	None	-1
30095184	628	731309	Replaygain tags set but always 0	2014-03-25 03:50:11	None	-1
29775283	621	188033	Python 3.4 standard library modules	2014-03-19 21:44:13	None	-1
29353781	608	3919579	Write tags only when changed	2014-03-13 14:20:30	None	-1
29348289	607	3919579	Refactor plugin	2014-03-13 13:02:31	None	-1
29220932	604	1813464	Discogs polluting mb_albumid	2014-03-11 22:36:17	None	-1
29158687	602	2638142	web: JavaScript character when searching for Chinese characters	2014-03-11 07:28:56	None	-1
29021482	591	3919579	Add base implementation of attachments	2014-03-08 13:29:13	None	-1
29012581	587	3150962	discogs: disc field is set to zero	2014-03-08 02:03:51	None	-1
28717671	572	6852511	Importing custom fields into beets	2014-03-04 16:09:57	None	-1
28705546	571	3150962	scrub: Restore album art during automatic scrubbing	2014-03-04 13:41:26	None	-1
28673813	568	622170	Cleanly recover when mp3gain crashes:	2014-03-04 01:50:18	None	253571
28567480	561	188033	modify: don't require -a for album-level fields	2014-03-01 22:32:14	None	-1
28480150	559	761640	Command for managing album art filenames	2014-02-28 05:56:22	None	-1
28123475	556	3919579	Allow for custom path separator replacement	2014-02-23 18:13:26	None	-1
27767919	549	129725	"Add an entry to replace to lookout for paths that begin with ""-"""	2014-02-18 03:56:14	None	-1
27766986	548	129725	"Null-termination option for ""list"" command"	2014-02-18 03:26:20	None	-1
27746787	546	129725	flexible attributes: Is the attribute empty or undefined	2014-02-17 20:21:50	None	-1
27745928	544	129725	Provide command to list all flexible attributes	2014-02-17 20:07:44	None	-1
27388206	541	4354262	fromfilename: Add filename matching regex for more forms of leading numerals	2014-02-11 21:30:27	None	-1
27358575	539	1720142	More Nuanced Return Codes	2014-02-11 15:55:23	None	3919579
26878725	526	768112	Added 2 plugins: autotag from amazon and searching in dates	2014-02-04 12:41:30	None	-1
26770337	524	6569578	Fetch artist country from MusicBrainz	2014-02-02 20:16:04	None	-1
26295235	507	99287	Fetch classical-related tags from MusicBrainz	2014-01-25 16:00:47	None	-1
26295023	506	99287	Fetch composer name from MusicBrainz	2014-01-25 15:49:49	None	-1
26294960	505	99287	Add support for multi-valued tags	2014-01-25 15:46:20	None	-1
26159094	504	768112	IDs for non-MB sources	2014-01-23 11:08:47	None	-1
25776100	496	1898174	Trailing whitespace not removed after max_filename_length truncation	2014-01-16 23:35:26	None	-1
25767265	495	188033	Echo Nest genres	2014-01-16 21:34:43	None	-1
25196651	488	188033	Formatted modify	2014-01-07 20:59:04	None	-1
24343821	476	415124	Mixesdb data source plugin	2013-12-16 11:33:37	None	-1
24088867	469	768112	$added displays different for album/item	2013-12-11 06:28:31	None	-1
23982926	468	52996	"beet update: suppress ""None ->"" changes"	2013-12-09 18:44:14	None	-1
23552953	465	6082577	discogs: Fetch a few more metadata fields	2013-12-02 05:19:14	None	-1
23198964	459	188033	DSD/DSF file format support	2013-11-24 02:56:11	None	-1
22686204	457	5941978	Tag as tracks but import as album	2013-11-14 19:34:39	None	-1
22448544	456	1399609	web: queue songs to play	2013-11-11 13:33:55	None	-1
22322910	454	22742	Set non-0 return status for `beet ls` when no items found	2013-11-08 08:19:21	None	-1
21650580	440	1275191	Adding relation information between tracks, albums and artists to beets?	2013-10-27 10:52:37	None	-1
21415559	435	5181	Move command should support copying files without modifying database	2013-10-22 20:39:06	None	-1
21374304	431	22742	Configuration of default log file	2013-10-22 10:51:51	None	-1
21374170	430	22742	Granular command-line logging specification.	2013-10-22 10:48:57	None	-1
21340455	429	2337851	fetchart: Fetch cover art from discogs	2013-10-21 20:07:22	None	-1
21136858	422	5706935	Import from paths specified in input file (eg .m3u)	2013-10-17 07:40:16	None	-1
20940255	415	188033	discogs: Set `medium_total` in TrackInfo	2013-10-14 05:16:37	None	-1
20697137	406	78236	Add the musicbrainz_releasetrackid tag	2013-10-08 18:23:46	None	-1
20228222	400	19217	Lookup and import without using the musicbrainz matcher	2013-09-29 12:33:04	None	-1
20079506	396	1466843	Manual entry option during import	2013-09-26 00:14:02	None	-1
19028434	376	14547	Add JSON output option	2013-09-05 08:14:36	None	-1
18953891	375	1370133	Packaging for fedora	2013-09-04 05:25:46	None	-1
18776088	373	3155040	Option to rewrite file if max padding size exceeded	2013-08-30 08:21:21	None	-1
18572677	368	188033	Extensible distance components	2013-08-26 20:51:32	None	-1
18194215	363	28852	Console colors shouldn't assume a dark background	2013-08-17 13:43:08	None	-1
17905190	359	188033	Replace empty path components by default	2013-08-10 22:45:45	None	-1
17874259	358	78236	Make it possible to unset the default file naming templates	2013-08-09 17:06:02	None	-1
17874037	357	78236	Primary & secondary release group types are not available	2013-08-09 17:01:13	None	-1
17828831	356	5181	Embedart should embed after fetchart command	2013-08-08 20:23:34	None	-1
17354223	351	188033	Show whether a match option is a duplicate	2013-07-29 18:09:57	None	-1
17338284	350	1104190	Disable multiple tag names for free-form tag formats	2013-07-29 13:06:29	None	1104190
16716902	343	42920	Change permissions on moved files before writing	2013-07-13 16:27:07	None	-1
15433925	327	322256	Intermediate logging level	2013-06-12 04:00:54	None	-1
15432832	326	322256	Add --write/-w option to beet update	2013-06-12 03:11:06	None	-1
15302029	323	96100	Document or remove path_sep_replace config value	2013-06-08 08:10:52	None	-1
15300577	322	96100	Config file option to disable move on modify	2013-06-08 05:31:19	None	-1
15209527	314	814282	Re-import should move album art (or remove the old album art file)	2013-06-06 07:44:29	None	-1
15161943	311	160079	Provide a way to compare different Tag Sources	2013-06-05 09:46:57	None	-1
15130635	309	188033	Album queries should automatically use albumartist instead of artist	2013-06-04 17:26:23	None	-1
15129793	308	188033	modify: Item changes should implicitly modify album-level data	2013-06-04 17:07:52	None	-1
15101346	306	51939	convert: crash bug when conversion fails?	2013-06-04 04:15:47	None	-1
15059253	304	608610	#247: Implement --pretend option for move	2013-06-03 09:52:04	None	-1
14924948	297	51939	"Redisplay last screen when ""?"" is entered at prompt."	2013-05-30 04:41:17	None	-1
14914072	296	184222	"convert: Add separate ""replace"" configuration"	2013-05-29 21:36:58	None	-1
14842449	293	152493	Replaygain album gain per disc support	2013-05-28 14:34:04	None	-1
14505161	282	326025	Web Plugin: web root path	2013-05-20 02:31:10	None	-1
14193432	271	219436	Media sync between multiple beets servers	2013-05-10 14:33:03	None	-1
14098959	268	2829196	lyrics fetch can get stuck without timeout	2013-05-08 12:57:48	None	-1
14021484	266	471587	Granular plugin status / plugin lifecycle	2013-05-06 21:14:38	None	-1
13028192	247	9932	beet move --pretend	2013-04-10 16:39:34	None	-1
12325937	231	3397700	Place cover art for multi-disc albums in common parent directory	2013-03-22 16:14:03	None	-1
12052902	221	1100216	Multiple related repositories	2013-03-15 07:44:06	None	1100216
11889626	216	188033	Use OAuth for MusicBrainz authentication	2013-03-11 18:08:54	None	-1
11517062	199	112490	Track / recording artist aliases don't always work	2013-02-28 20:08:42	None	-1
11515999	197	10137	web: Client-side decoding using aurora.js	2013-02-28 19:43:18	None	-1
11515995	196	10137	Show number of tracks in a partial match	2013-02-28 19:43:17	None	-1
11515994	195	10137	web: Better HTTP server	2013-02-28 19:43:16	None	-1
11515993	194	10137	Reduced string penalty at end (+ beginning?) of string, especially for track name	2013-02-28 19:43:16	None	-1
11515988	191	10137	Password/API key in a secure password store	2013-02-28 19:43:14	None	-1
11515986	190	10137	Use MusicBrainz track ID tags to search for matches	2013-02-28 19:43:13	None	-1
11515985	189	10137	"Accept release group IDs at ""enter ID"" prompt"	2013-02-28 19:43:13	None	-1
11515984	188	10137	Command help messages could use more content	2013-02-28 19:43:12	None	-1
11515982	186	10137	convert: disable confirmation prompt	2013-02-28 19:43:11	None	-1
11515981	185	10137	Option to force option in duplicate album dialog	2013-02-28 19:43:11	None	-1
11515980	184	10137	Importer UI: specific error message for missing metadata	2013-02-28 19:43:11	None	-1
11515978	183	10137	Lyrics: support multilingual lyrics from lyricswiki	2013-02-28 19:43:10	None	-1
11515972	179	10137	Config file option to use only MBIDs embedded in files during import, switching to tag based search only if MBIDs are not present	2013-02-28 19:43:07	None	-1
11515969	176	10137	BPD: Persistent playlist	2013-02-28 19:43:05	None	-1
11515967	174	10137	fetchart: Search by artist and album title (in addition to ASIN)	2013-02-28 19:43:03	None	-1
11515966	173	10137	chroma: Fingerprint as backup to cheaper metadata matching	2013-02-28 19:43:02	None	-1
11515964	172	10137	chroma: Enable fingerprinting via command-line switch	2013-02-28 19:43:01	None	-1
11515963	171	10137	scrub: remove Lyrics3v2 and other unsupported tags	2013-02-28 19:43:01	None	-1
11515962	170	10137	Allow to specify the musicbrainz ID when importing without having to wait for beet to search first	2013-02-28 19:42:59	None	-1
11515961	169	10137	Interactively set the album disambiguation string	2013-02-28 19:42:58	None	-1
11515960	168	10137	auto-update the bpd database when a new item is imported to beets db	2013-02-28 19:42:58	None	-1
11515959	167	10137	Feature Request: Ability to handle valid character ranges in paths	2013-02-28 19:42:57	None	-1
11515957	166	10137	Rescan current album directory during import	2013-02-28 19:42:57	None	-1
11515956	165	10137	Plugin API for format not supported by mutagen	2013-02-28 19:42:57	None	-1
11515955	164	10137	Visual tag editor	2013-02-28 19:42:56	None	-1
11515949	160	10137	"Support for ""hybrid mode"" WavPack files"	2013-02-28 19:42:53	None	-1
11515948	159	10137	embedart: command should work on items, not just albums	2013-02-28 19:42:53	None	-1
11515943	155	10137	Artists with identical names don't belong together	2013-02-28 19:42:51	None	-1
11515942	154	10137	Manual mapping of track names	2013-02-28 19:42:51	None	-1
11515941	153	10137	symlinks for splits and collaborations	2013-02-28 19:42:50	None	-1
11515940	152	10137	Fix first letter caps	2013-02-28 19:42:50	None	-1
11515939	151	10137	Clear between correction suggestions	2013-02-28 19:42:49	None	-1
11515938	150	10137	Add support for generating nfo files	2013-02-28 19:42:47	None	-1
11515936	149	10137	Move music to trash	2013-02-28 19:42:47	None	-1
11515932	147	10137	Enhancement - FetchArt Plugin Logfile	2013-02-28 19:42:45	None	-1
11515930	146	10137	Restore file mtimes after modification	2013-02-28 19:42:44	None	-1
11515929	145	10137	"Delete ""extra"" files after album import"	2013-02-28 19:42:44	None	-1
11515927	144	10137	Reduce penalty for missing ignore [silence], [hidden], etc tracks.	2013-02-28 19:42:43	None	-1
11515924	141	10137	Details in import log	2013-02-28 19:42:42	None	-1
11515923	140	10137	Deal with music directly from the filesystem	2013-02-28 19:42:41	None	-1
11515922	139	10137	CD ripping	2013-02-28 19:42:41	None	-1
11515920	137	10137	Report error when cover art not found	2013-02-28 19:42:40	None	-1
11515918	136	10137	Support for cuesheets	2013-02-28 19:42:39	None	-1
11515915	133	10137	Use paths relative to music directory	2013-02-28 19:42:38	None	-1
11515913	132	10137	Album art for singletons	2013-02-28 19:42:37	None	-1
11515911	131	10137	MusicBrainz web interface integration	2013-02-28 19:42:36	None	-1
11515909	130	10137	Empty directories are sometimes left behind	2013-02-28 19:42:35	None	-1
11515908	129	10137	Extend options for unmatched tracks	2013-02-28 19:42:34	None	-1
11515906	127	10137	Add option to write dismbiguated album name to tags	2013-02-28 19:42:33	None	-1
11515905	126	10137	Pipeline fingerprint generation	2013-02-28 19:42:33	None	-1
11515901	123	10137	Playlists	2013-02-28 19:42:30	None	-1
11515897	122	10137	Ratings and tags management	2013-02-28 19:42:28	None	-1
11515893	120	10137	Manually mark as album	2013-02-28 19:42:26	None	-1
11515888	116	10137	Quality-based Trumping during import	2013-02-28 19:42:24	None	-1
11515832	112	10137	Album merging/completion	2013-02-28 19:40:59	None	-1
11515831	111	10137	Attachments to items and albums	2013-02-28 19:40:59	None	-1
11515829	110	10137	Ignore OS-specific hidden files	2013-02-28 19:40:58	None	-1
11394857	101	1033963	Labels plugin	2013-02-26 05:15:27	None	-1
